0,1464661548.013000,1464661548.594671,1464661553.595979,1464661553.701000
1,1464661548.013000,1464661548.600905,1464661553.602378,1464661553.702000
2,1464661548.013000,1464661548.577880,1464661553.579286,1464661553.703000
3,1464661548.013000,1464661548.592399,1464661553.594218,1464661553.704000
4,1464661548.013000,1464661548.630496,1464661553.632256,1464661553.708000
5,1464661548.013000,1464661548.622818,1464661553.623998,1464661553.714000
6,1464661548.013000,1464661548.590547,1464661553.592125,1464661553.715000
7,1464661548.013000,1464661548.619447,1464661553.620739,1464661553.715000
8,1464661548.013000,1464661548.618482,1464661553.620037,1464661553.716000
9,1464661548.013000,1464661548.583070,1464661553.584794,1464661553.716000
10,1464661548.013000,1464661548.584693,1464661553.602151,1464661553.717000
11,1464661548.013000,1464661548.643404,1464661553.644679,1464661553.737000
12,1464661548.013000,1464661548.598706,1464661553.600082,1464661553.737000
13,1464661548.013000,1464661548.597711,1464661553.599062,1464661553.738000
14,1464661548.013000,1464661548.637567,1464661553.639504,1464661553.739000
15,1464661548.014000,1464661548.620288,1464661553.621555,1464661553.739000
16,1464661548.014000,1464661548.585289,1464661553.587143,1464661553.740000
17,1464661548.014000,1464661548.624516,1464661553.626053,1464661553.741000
18,1464661548.014000,1464661548.572219,1464661553.574010,1464661553.741000
19,1464661548.014000,1464661548.607558,1464661553.626934,1464661553.742000
20,1464661548.014000,1464661548.632634,1464661553.633997,1464661553.742000
21,1464661548.014000,1464661548.593886,1464661553.595127,1464661553.743000
22,1464661548.015000,1464661548.587724,1464661553.589009,1464661553.743000
23,1464661548.015000,1464661548.619300,1464661553.620692,1464661553.744000
24,1464661548.015000,1464661548.604536,1464661553.605807,1464661553.744000
25,1464661548.015000,1464661548.605835,1464661553.607046,1464661553.745000
26,1464661548.015000,1464661548.586707,1464661553.588068,1464661553.746000
27,1464661548.015000,1464661548.667781,1464661553.669124,1464661553.756000
28,1464661548.016000,1464661548.596562,1464661553.597857,1464661553.756000
29,1464661548.016000,1464661548.654680,1464661553.655896,1464661553.757000
30,1464661548.016000,1464661548.589633,1464661553.591578,1464661553.758000
31,1464661548.016000,1464661548.622205,1464661553.623593,1464661553.758000
32,1464661548.016000,1464661548.593137,1464661553.594525,1464661553.759000
33,1464661548.017000,1464661548.588788,1464661553.590572,1464661553.759000
34,1464661548.017000,1464661548.587833,1464661553.589356,1464661553.760000
35,1464661548.017000,1464661548.618789,1464661553.620075,1464661553.761000
36,1464661548.018000,1464661548.631920,1464661553.633261,1464661553.762000
37,1464661548.019000,1464661548.608567,1464661553.610183,1464661553.762000
38,1464661548.020000,1464661548.601446,1464661553.603006,1464661553.763000
39,1464661548.020000,1464661548.606626,1464661553.608009,1464661553.764000
40,1464661548.020000,1464661548.628681,1464661553.630264,1464661553.764000
41,1464661548.020000,1464661548.646097,1464661553.648227,1464661553.765000
